"KorhazRovid";"Korhaz";"SzakmaKod";"SzakmaMegnev";"OsszesAgy";"MukodoIAgy";"MukodoIIAgy";"TartoSzuneteloAgy";"OsszesAtlagAgy";"MukodoAtlagAgy";"ElbocsatottBetegSzam";"EltavozottBetegSzam";"MasOsztalyBetegSzam";"MeghaltBetegSzam";"EgynaposEsetSzam";"TeljesithetoApolasiNapSzam";"TeljesitettApolasiNapSzam";"ApolasAtlTartam";"Agykihasznalas";"Halalozas";"Ev";"Fenntarto"
"0109";"0109 Fovárosi Szent István KH-RI";"15";"Aneszteziológiai és intenzív betegellátás";6;6;6;0;6;6;192;29;93;70;0;2190;1231;6,41;56,21;36,46;2003;"Önkormányzati kórházak"
"0109";"0109 Fovárosi Szent István KH-RI";"18";"Pszichiátria";60;60;60;0;60;60;1077;586;470;21;0;21900;20169;18,73;92,1;1,95;2003;"Önkormányzati kórházak"
"0110";"0110 Fovárosi Schöpf-Mérei Ágost Kórház és Anyavédelmi Központ";"04";"Szülészet-nogyógyászat";70;70;70;0;70;70;6829;6739;90;0;6;25550;24793;3,63;97,04;0;2003;"Önkormányzati kórházak"
"0110";"0110 Fovárosi Schöpf-Mérei Ágost Kórház és Anyavédelmi Központ";"05";"Csecsemo- és gyermekgyógyászat";26;26;26;0;26;26;636;475;144;17;0;9490;8340;13,11;87,88;2,67;2003;"Önkormányzati kórházak"
"0112";"0112 Fovárosi Bajcsy-Zsilinszky KH-RI";"01";"Belgyógyászat";251;251;251;0;251;248,5;9559;8212;870;477;251;90691;67563;7,07;74,5;4,99;2003;"Önkormányzati kórházak"
"0112";"0112 Fovárosi Bajcsy-Zsilinszky KH-RI";"02";"Sebészet";75;65;65;10;75;66,1;3076;2456;544;76;113;24125;19298;6,27;79,99;2,47;2003;"Önkormányzati kórházak"
"0112";"0112 Fovárosi Bajcsy-Zsilinszky KH-RI";"04";"Szülészet-nogyógyászat";55;55;55;0;55;55;3556;3533;22;1;1401;20075;11215;3,15;55,87;0,03;2003;"Önkormányzati kórházak"
"0112";"0112 Fovárosi Bajcsy-Zsilinszky KH-RI";"06";"Fül-orr-gégegyógyászat";30;30;25;0;30;28,8;2258;2237;13;8;0;10500;8475;3,75;80,71;0,35;2003;"Önkormányzati kórházak"
"0112";"0112 Fovárosi Bajcsy-Zsilinszky KH-RI";"07";"Szemészet";30;30;30;0;30;29,8;1718;1691;27;0;124;10860;5644;3,29;51,97;0;2003;"Önkormányzati kórházak"
"0112";"0112 Fovárosi Bajcsy-Zsilinszky KH-RI";"09";"Neurológia";30;30;30;0;30;30;1911;1745;105;61;0;10950;12570;6,58;114,79;3,19;2003;"Önkormányzati kórházak"
"0112";"0112 Fovárosi Bajcsy-Zsilinszky KH-RI";"11";"Urológia";30;30;30;0;30;30;1928;1855;69;4;365;10950;8515;4,42;77,76;0,21;2003;"Önkormányzati kórházak"
"0112";"0112 Fovárosi Bajcsy-Zsilinszky KH-RI";"15";"Aneszteziológiai és intenzív betegellátás";8;8;8;0;8;8;560;24;431;105;0;2920;2214;3,95;75,82;18,75;2003;"Önkormányzati kórházak"
"0112";"0112 Fovárosi Bajcsy-Zsilinszky KH-RI";"18";"Pszichiátria";60;60;60;0;60;60;1313;1234;65;14;0;21900;16022;12,2;73,16;1,07;2003;"Önkormányzati kórházak"
"0115";"0115 Fovárosi Jáhn Ferenc Dél-Pesti Kórháza";"01";"Belgyógyászat";352;352;352;0;292,1;292,1;11691;9465;1502;724;0;106610;96491;8,25;90,51;6,19;2003;"Önkormányzati kórházak"
"0115";"0115 Fovárosi Jáhn Ferenc Dél-Pesti Kórháza";"02";"Sebészet";115;115;115;0;88,4;88,4;3034;2701;256;77;1;32255;19802;6,53;61,39;2,54;2003;"Önkormányzati kórházak"
"0115";"0115 Fovárosi Jáhn Ferenc Dél-Pesti Kórháza";"04";"Szülészet-nogyógyászat";60;60;60;0;60;60;5011;4982;27;2;1292;21900;15391;3,07;70,28;0,04;2003;"Önkormányzati kórházak"
"0115";"0115 Fovárosi Jáhn Ferenc Dél-Pesti Kórháza";"05";"Csecsemo- és gyermekgyógyászat";20;20;20;0;20;20;287;286;1;0;0;7300;2730;9,51;37,4;0;2003;"Önkormányzati kórházak"
"0115";"0115 Fovárosi Jáhn Ferenc Dél-Pesti Kórháza";"06";"Fül-orr-gégegyógyászat";30;30;30;0;30;30;1720;1661;42;17;0;10950;8267;4,81;75,5;0,99;2003;"Önkormányzati kórházak"
"0115";"0115 Fovárosi Jáhn Ferenc Dél-Pesti Kórháza";"07";"Szemészet";25;25;25;0;25;25;1244;1237;7;0;1;9125;3042;2,45;33,34;0;2003;"Önkormányzati kórházak"
"0115";"0115 Fovárosi Jáhn Ferenc Dél-Pesti Kórháza";"09";"Neurológia";90;90;90;0;96,7;96,7;2761;2411;240;110;0;35280;28890;10,46;81,89;3,98;2003;"Önkormányzati kórházak"
"0115";"0115 Fovárosi Jáhn Ferenc Dél-Pesti Kórháza";"11";"Urológia";26;26;26;0;30,6;30,6;2339;2257;75;7;2;11160;10487;4,48;93,97;0,3;2003;"Önkormányzati kórházak"
"0115";"0115 Fovárosi Jáhn Ferenc Dél-Pesti Kórháza";"15";"Aneszteziológiai és intenzív betegellátás";16;16;16;0;13,3;13,3;672;84;420;168;0;4868;3440;5,12;70,67;25;2003;"Önkormányzati kórházak"
"0115";"0115 Fovárosi Jáhn Ferenc Dél-Pesti Kórháza";"17";"Sürgosségi betegellátás";8;8;8;0;8;8;62;49;11;2;0;2920;271;4,37;9,28;3,23;2003;"Önkormányzati kórházak"
"0115";"0115 Fovárosi Jáhn Ferenc Dél-Pesti Kórháza";"18";"Pszichiátria";28;28;28;0;28;28;591;357;229;5;0;10220;8399;14,21;82,18;0,85;2003;"Önkormányzati kórházak"
"0116";"0116 Fovárosi Péterfy S. Utcai KH-RI";"01";"Belgyógyászat";400;400;400;0;400;400;13796;11166;1841;789;1;146000;109020;7,9;74,67;5,72;2003;"Önkormányzati kórházak"
"0116";"0116 Fovárosi Péterfy S. Utcai KH-RI";"02";"Sebészet";75;75;75;0;75;75;2749;2591;92;66;1;27375;18508;6,73;67,61;2,4;2003;"Önkormányzati kórházak"
"0116";"0116 Fovárosi Péterfy S. Utcai KH-RI";"03";"Ortopédia-traumatológia";70;70;70;0;70;70;2350;2198;99;53;0;25550;20501;8,72;80,24;2,26;2003;"Önkormányzati kórházak"
"0116";"0116 Fovárosi Péterfy S. Utcai KH-RI";"04";"Szülészet-nogyógyászat";45;45;45;0;45;45;4277;4261;15;1;9;16425;14596;3,41;88,86;0,02;2003;"Önkormányzati kórházak"
"0116";"0116 Fovárosi Péterfy S. Utcai KH-RI";"05";"Csecsemo- és gyermekgyógyászat";30;30;30;0;30;30;1145;1145;0;0;0;10950;11718;10,23;107,01;0;2003;"Önkormányzati kórházak"
"0116";"0116 Fovárosi Péterfy S. Utcai KH-RI";"06";"Fül-orr-gégegyógyászat";25;25;25;0;25;25;1330;1315;12;3;0;9125;5705;4,29;62,52;0,23;2003;"Önkormányzati kórházak"
"0116";"0116 Fovárosi Péterfy S. Utcai KH-RI";"07";"Szemészet";26;26;26;0;26;26;1410;1397;12;1;2;9490;5191;3,68;54,7;0,07;2003;"Önkormányzati kórházak"
"0116";"0116 Fovárosi Péterfy S. Utcai KH-RI";"09";"Neurológia";66;66;66;0;66;66;2752;2629;42;81;0;24090;20237;7,35;84,01;2,94;2003;"Önkormányzati kórházak"
"0116";"0116 Fovárosi Péterfy S. Utcai KH-RI";"11";"Urológia";25;25;25;0;25;25;1186;1175;9;2;0;9125;7464;6,29;81,8;0,17;2003;"Önkormányzati kórházak"
"0116";"0116 Fovárosi Péterfy S. Utcai KH-RI";"12";"Onkológia, onkoradiológia";50;50;50;0;50;50;1675;1571;11;93;0;18250;8572;5,12;46,97;5,55;2003;"Önkormányzati kórházak"
"0116";"0116 Fovárosi Péterfy S. Utcai KH-RI";"15";"Aneszteziológiai és intenzív betegellátás";16;16;16;0;16;16;683;160;372;151;1;5840;3432;5,02;58,77;22,11;2003;"Önkormányzati kórházak"
"0116";"0116 Fovárosi Péterfy S. Utcai KH-RI";"17";"Sürgosségi betegellátás";10;10;10;0;10;10;3042;2845;196;1;0;3650;3062;1,01;83,89;0,03;2003;"Önkormányzati kórházak"
"0116";"0116 Fovárosi Péterfy S. Utcai KH-RI";"18";"Pszichiátria";40;40;40;0;58,3;58,3;1330;1315;15;0;0;21280;15978;12,01;75,08;0;2003;"Önkormányzati kórházak"
"0118";"0118 Fovárosi Uzsoki Utcai KH-RI";"01";"Belgyógyászat";194;194;194;0;194;194;5741;4679;754;308;0;70810;55368;9,64;78,19;5,36;2003;"Önkormányzati kórházak"
"0118";"0118 Fovárosi Uzsoki Utcai KH-RI";"02";"Sebészet";64;64;64;0;64;64;2919;2501;369;49;0;23360;16363;5,61;70,05;1,68;2003;"Önkormányzati kórházak"
"0118";"0118 Fovárosi Uzsoki Utcai KH-RI";"04";"Szülészet-nogyógyászat";40;40;40;0;40;40;2537;2513;24;0;2;14600;10071;3,97;68,98;0;2003;"Önkormányzati kórházak"
"0118";"0118 Fovárosi Uzsoki Utcai KH-RI";"06";"Fül-orr-gégegyógyászat";40;40;40;0;40;40;1695;1611;43;41;1;14600;9877;5,83;67,65;2,42;2003;"Önkormányzati kórházak"
"0118";"0118 Fovárosi Uzsoki Utcai KH-RI";"07";"Szemészet";25;25;25;0;25;25;2161;2147;14;0;0;9125;6804;3,15;74,56;0;2003;"Önkormányzati kórházak"
"0118";"0118 Fovárosi Uzsoki Utcai KH-RI";"09";"Neurológia";40;40;40;0;40;40;1791;1527;214;50;0;14600;12736;7,11;87,23;2,79;2003;"Önkormányzati kórházak"
"0118";"0118 Fovárosi Uzsoki Utcai KH-RI";"10";"Ortopédia-traumatológia";80;80;80;0;80;80;4771;4237;520;14;195;29200;16186;3,39;55,43;0,29;2003;"Önkormányzati kórházak"
"0118";"0118 Fovárosi Uzsoki Utcai KH-RI";"11";"Urológia";32;32;32;0;32;32;1515;1451;57;7;2;11680;8436;5,57;72,23;0,46;2003;"Önkormányzati kórházak"
"0118";"0118 Fovárosi Uzsoki Utcai KH-RI";"12";"Onkológia, onkoradiológia";106;106;106;0;106;106;2281;2208;39;34;0;38690;22418;9,83;57,94;1,49;2003;"Önkormányzati kórházak"
"0118";"0118 Fovárosi Uzsoki Utcai KH-RI";"15";"Aneszteziológiai és intenzív betegellátás";13;13;13;0;13;13;632;65;403;164;0;4745;2416;3,82;50,92;25,95;2003;"Önkormányzati kórházak"
"0118";"0118 Fovárosi Uzsoki Utcai KH-RI";"19";"Tüdogyógyászat";40;40;40;0;40;40;1106;984;69;53;0;14600;11027;9,97;75,53;4,79;2003;"Önkormányzati kórházak"
"0119";"0119 Fovárosi Nyíro Gyula KH-RI";"01";"Belgyógyászat";154;154;154;0;154;154;4993;4167;464;362;0;56210;48665;9,75;86,58;7,25;2003;"Önkormányzati kórházak"
"0119";"0119 Fovárosi Nyíro Gyula KH-RI";"02";"Sebészet";35;35;35;0;35;35;1420;1288;92;40;0;12775;9559;6,73;74,83;2,82;2003;"Önkormányzati kórházak"
"0119";"0119 Fovárosi Nyíro Gyula KH-RI";"04";"Szülészet-nogyógyászat";50;50;50;0;50;50;3109;3096;13;0;1123;18250;11597;3,73;63,55;0;2003;"Önkormányzati kórházak"
"0119";"0119 Fovárosi Nyíro Gyula KH-RI";"09";"Neurológia";35;35;35;0;35;35;951;870;53;28;0;12775;10568;11,11;82,72;2,94;2003;"Önkormányzati kórházak"
"0119";"0119 Fovárosi Nyíro Gyula KH-RI";"15";"Aneszteziológiai és intenzív betegellátás";8;8;8;0;8;8;534;118;317;99;0;2920;2221;4,16;76,06;18,54;2003;"Önkormányzati kórházak"
"0119";"0119 Fovárosi Nyíro Gyula KH-RI";"18";"Pszichiátria";127;127;127;0;127;127;3902;3800;57;45;0;46355;43995;11,27;94,91;1,15;2003;"Önkormányzati kórházak"
"0121";"0121 Fovárosi Önkormányzat Károlyi Sándor Kórház és Rendeloint.";"01";"Belgyógyászat";200;200;200;0;204,5;204,5;6834;5785;591;458;0;74620;60786;8,89;81,46;6,7;2003;"Önkormányzati kórházak"
"0121";"0121 Fovárosi Önkormányzat Károlyi Sándor Kórház és Rendeloint.";"02";"Sebészet";60;60;60;0;60;60;2090;1878;135;77;1;21900;13952;6,68;63,71;3,68;2003;"Önkormányzati kórházak"
"0121";"0121 Fovárosi Önkormányzat Károlyi Sándor Kórház és Rendeloint.";"03";"Ortopédia-traumatológia";127;127;127;0;127;127;5273;4928;270;75;51;46355;34403;6,52;74,22;1,42;2003;"Önkormányzati kórházak"
"0121";"0121 Fovárosi Önkormányzat Károlyi Sándor Kórház és Rendeloint.";"04";"Szülészet-nogyógyászat";50;50;50;0;50;50;2954;2937;17;0;969;18250;10303;3,49;56,45;0;2003;"Önkormányzati kórházak"
"0121";"0121 Fovárosi Önkormányzat Károlyi Sándor Kórház és Rendeloint.";"09";"Neurológia";50;50;50;0;52,5;52,5;1833;1683;120;30;0;19150;16394;8,94;85,61;1,64;2003;"Önkormányzati kórházak"
"0121";"0121 Fovárosi Önkormányzat Károlyi Sándor Kórház és Rendeloint.";"11";"Urológia";30;30;30;0;28,8;28,8;1533;1489;37;7;0;10500;6030;3,93;57,43;0,46;2003;"Önkormányzati kórházak"
"0121";"0121 Fovárosi Önkormányzat Károlyi Sándor Kórház és Rendeloint.";"15";"Aneszteziológiai és intenzív betegellátás";10;10;10;0;10;10;367;29;236;102;0;3650;2488;6,78;68,16;27,79;2003;"Önkormányzati kórházak"
"0122";"0122 Fovárosi Heim Pál Gyermekkórház";"05";"Csecsemo- és gyermekgyógyászat";380;380;354;0;370,9;362,8;19728;19099;614;15;81;132422;88838;4,5;67,09;0,08;2003;"Önkormányzati kórházak"
"0123";"0123 Magyarországi Református Egyház Bethesda Gyermekkórháza, Bp.";"02";"Sebészet";29;29;29;0;29;29;2022;1992;30;0;0;10585;7196;3,56;67,98;0;2003;"Egyházi kórházak"
"0123";"0123 Magyarországi Református Egyház Bethesda Gyermekkórháza, Bp.";"05";"Csecsemo- és gyermekgyógyászat";111;111;111;0;111;111;4217;4155;58;4;0;40515;23863;5,66;58,9;0,09;2003;"Egyházi kórházak"
"0123";"0123 Magyarországi Református Egyház Bethesda Gyermekkórháza, Bp.";"06";"Fül-orr-gégegyógyászat";20;20;20;0;20;20;1795;1794;1;0;0;7300;3825;2,13;52,4;0;2003;"Egyházi kórházak"
"0123";"0123 Magyarországi Református Egyház Bethesda Gyermekkórháza, Bp.";"15";"Aneszteziológiai és intenzív betegellátás";11;11;11;0;11;11;249;74;169;6;0;4015;1755;7,05;43,71;2,41;2003;"Egyházi kórházak"
"0124";"0124 Fovárosi Budai Gyermekkórház-RI";"05";"Csecsemo- és gyermekgyógyászat";90;90;90;0;94,6;93,5;4758;4749;9;0;0;34120;23509;4,94;68,9;0;2003;"Önkormányzati kórházak"
"0125";"0125 Fovárosi Madarász Utcai Gyermekkórház-RI";"02";"Sebészet";29;29;29;0;29;29;2566;2507;59;0;1;10585;8778;3,42;82,93;0;2003;"Önkormányzati kórházak"
"0125";"0125 Fovárosi Madarász Utcai Gyermekkórház-RI";"03";"Ortopédia-traumatológia";20;20;20;0;20;20;1230;1218;12;0;0;7300;3723;3,03;51;0;2003;"Önkormányzati kórházak"
"0125";"0125 Fovárosi Madarász Utcai Gyermekkórház-RI";"05";"Csecsemo- és gyermekgyógyászat";83;83;83;0;83;83;4663;4491;170;2;0;30295;26519;5,69;87,54;0,04;2003;"Önkormányzati kórházak"
"0125";"0125 Fovárosi Madarász Utcai Gyermekkórház-RI";"06";"Fül-orr-gégegyógyászat";20;20;20;0;20;20;1334;1290;43;1;0;7300;5186;3,89;71,04;0,07;2003;"Önkormányzati kórházak"
"0125";"0125 Fovárosi Madarász Utcai Gyermekkórház-RI";"12";"Onkológia, onkoradiológia";12;12;12;0;12;12;214;210;4;0;0;4380;1699;7,94;38,79;0;2003;"Önkormányzati kórházak"
"0125";"0125 Fovárosi Madarász Utcai Gyermekkórház-RI";"15";"Aneszteziológiai és intenzív betegellátás";6;6;6;0;6;6;217;55;159;3;0;2190;1482;6,83;67,67;1,38;2003;"Önkormányzati kórházak"
"0127";"0127 Fovárosi Szent László Kórház";"01";"Belgyógyászat";68;68;68;0;71;64,2;903;795;49;59;0;23420;14953;16,56;63,85;6,53;2003;"Önkormányzati kórházak"
"0127";"0127 Fovárosi Szent László Kórház";"02";"Sebészet";45;45;45;0;45;38,2;1150;953;161;36;0;13941;9263;8,05;66,44;3,13;2003;"Önkormányzati kórházak"
"0127";"0127 Fovárosi Szent László Kórház";"04";"Szülészet-nogyógyászat";2;2;2;0;2;2;162;160;2;0;0;730;646;3,99;88,49;0;2003;"Önkormányzati kórházak"
"0127";"0127 Fovárosi Szent László Kórház";"05";"Csecsemo- és gyermekgyógyászat";112;102;102;10;112;105,5;8061;7977;84;0;0;38520;25373;3,15;65,87;0;2003;"Önkormányzati kórházak"
"0127";"0127 Fovárosi Szent László Kórház";"06";"Fül-orr-gégegyógyászat";24;24;24;0;25,5;25,5;1947;1930;17;0;0;9300;6144;3,16;66,06;0;2003;"Önkormányzati kórházak"
"0127";"0127 Fovárosi Szent László Kórház";"12";"Onkológia, onkoradiológia";38;38;38;0;42,9;38;3106;3069;9;28;0;13870;7472;2,41;53,87;0,9;2003;"Önkormányzati kórházak"
"0127";"0127 Fovárosi Szent László Kórház";"15";"Aneszteziológiai és intenzív betegellátás";22;22;22;0;22;22;396;78;231;87;0;8030;3497;8,83;43,55;21,97;2003;"Önkormányzati kórházak"
